Product Name,Product URL,Product Price,Rating,Number of Reviews
"AirCase Office Sling Messenger Bag fits upto 15.6"" Laptop/Macbook, Detachable Shoulder Strap, Waterproof, Shockproof, Spacious Pockets for Office/Travel, Black- With Warranty",/AirCase-C30-Messenger-Compartments-Multi-Pockets/dp/B07V47HHRG,"1,451",3.8,3.8
F Gear Millionaire Doby 36 Ltrs Black Laptop Backpack (3201),/F-Gear-Millionaire-Doby-Black-Laptop-Backpack/dp/B07XMLCYTH,986,4.0,4.0
"HOUSAI: pack of 30 Plain white Paper Bags with Twisted Handles Suits in Gifting, Shopping & Food Packing, W/G/H = 8.5""X4""X11.5"" inch (Small)",/HOUSAI-Twisted-Handles-Gifting-Shopping/dp/B09NW23HSV,558,3.9,3.9
"SKYTONE Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider, Wide Opening Cosmetic/Makeup Organizer (Pink)",/SKYTONE-Cosmetic-Bag-Cosmetics-Organizer/dp/B0BV358QKF,749,3.6,3.6
"Arctic Hunter Laptop Backpack, Premium Business Backpack Office Travel Laptop Bag with 15.6-inch Laptop Pocket Water/Scratch-resistant Multiple Pocket Comfortable and Thick, Large Capacity Padded Backpack for Men and Women",/Backpack-Business-Scratch-resistant-Multiple-Comfortable/dp/B0B6FNPN76,"5,699",4.3,4.3
Nivia 5177RD Polyester String Bag (Red),/Nivia-5177RD-Polyester-String-Bag/dp/B07NNJKQQY,249,4.0,4.0
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",/AirCase-Backpack-Lightweight-Waterproof-Spacious/dp/B0BS3QJNKT,929,2.7,2.7
Gear Bounce 27 Ltrs Water Resistant School Bag/Backpack/College Bag for Men/Women-Grey Orange,/Gear-Bounce-Backpack-Grey-Orange-BKPBOUNCE0604/dp/B097KCLF5F,629,3.6,3.6
EUME Alexis 31 Ltrs Laptop Backpack for Office & Travel Use for Men & Women | Water Resistance Bag | Fit Up to 15.6-inch Laptop,/EUME-Alexis-Backpack-Resistance-15-6-inch/dp/B0BN5DYQSK,"2,449",4.3,4.3
"House of Quirk Clear Toiletry Bag, Wash Make Up Bag PVC Waterproof Zippered Cosmetic Bag, Portable Carry Pouch for Women Men (Set of 3 Bag Black)",/House-Quirk-Toiletry-Waterproof-Zippered/dp/B09G364GX5,675,4.4,4.4
wildcraft Nylon 40 ltrs Black Laptop Bag (Trident XL 2_Black),/Wildcraft-Laptop-Trident-XL-2_Black/dp/B019DWD8SQ,"2,999",4.4,4.4
F Gear Sedna 27 Liters Laptop Backpack Sch Bag(Brown),/F-Gear-Sedna-Laptop-Backpack-Brown/dp/B072N83D9M,926,4.1,4.1
Wildcraft WC 1 Cracks Backpack Red (11910),/Wildcraft-Cracks-Backpack-Red-11910/dp/B0837H9XSY,"1,199",3.9,3.9
"HAMMONDS FLYCATCHER Genuine Leather Laptop Bag for Men/Office Bag for Men, Brushwood | Fits Upto 14 Inch Laptop/MacBook | Leather Bag with Shoulder Straps | Laptop Messenger Bag/Leather Bag for Men",/Hammonds-Flycatcher-Genuine-Brushwood-Messenger/dp/B0916G3WW7,"3,099",4.2,4.2
"Skybags Arthur 30 L Laptop Backpack (Grey), Free Size (PLBPARTHGRY)",/Skybags-Arthur-Laptop-Backpack-Grey/dp/B07SRFGK6H,"1,489",3.9,3.9
Pinklips Shopping Blackpink Theme Fan Art Laptop Bag Casual School Backpack (COMBO OF 3-SIZE BAGS) - PINKBAGS_777,/Pinklips-Shopping-Blackpink-Laptop-Backpack/dp/B0B7DL5GMY,"1,399",4.2,4.2
Skybags New Neon 30 L Backpack (Purple),/Skybags-New-Neon-Backpack-Purple/dp/B07SRHCF9R,999,4.3,4.3
"PUJI Travel Duffel Bag, overnight shoulder Bag, weekender carry on for women, Women's travel bags Shoulder Weekender Overnight Bag for Women, sports Gym Bag, Sports Tote Gym Bag, workout duffel bag (SIMPLE BAG)( Multicolor )",/PUJI-Bag-overnight-weekender-Multicolor/dp/B0B3RTVM2J,559,3.8,3.8
"uppercase Laptop Backpack 1600EBP Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls , 750 Days warranty",/uppercase-Backpack-1600EBP1-resistant-sustainable/dp/B0B68ZS5G1,950,4.2,4.2
